Sample	Ia 1022	Ib 1020	Ic 1018	IIa5 1036	IIa6 1036'	IIb5 1034	IIb6 1034'	IIc5 1032	IIc6 1032'	IIIa5 1050	IIIa6 1050'	IIIb5 1050	IIIb6 1050'	IIIc5 1050	IIIc6 1050'
4627	0.471583467679033	0.0745089595140725	0.013593215787136	0.182335122931944	0.134446343426542	0.0361293924555057	0.0278832547122963	0.00390099125806107	0	0.0370714676747958	0.0185477845606134	0	0	0	0
4639	0.396375688861999	0.0648855617705347	0.0102423619576594	0.242323742761932	0.129073509304815	0.049876083706527	0.0286068002512437	0.00667119261000825	0	0.0524036529338398	0.019541405841442	0	0	0	0
4651	0.399031011553324	0.0678838759300107	0.0108352903904188	0.223100346950409	0.136409107849448	0.0494765429545053	0.031856788001234	0.00642544786441532	0	0.049053925615782	0.0259276628904529	0	0	0	0
4663	0.40674251214817	0.0660834234779367	0.00920796997628981	0.212901079137953	0.155335121484039	0.0400681940122456	0.0296097820875595	0.00332663420290994	0	0.048197002636364	0.0285282808365326	0	0	0	0
4671	0.373794947809052	0.0666218880623277	0.0126588662933547	0.207705330460048	0.184634790179911	0.0432880657285736	0.0308257603115922	0.00481588557736011	0	0.0438999407147034	0.0317545248630775	0	0	0	0
4683	0.396122899839312	0.0759223025552643	0.0150593689462814	0.197067207085025	0.167499897991501	0.0430691539900867	0.0309044947859085	0.00408267157343738	0	0.0408354593199822	0.0294365439132015	0	0	0	0
4685	0.40339491715596	0.0757524591771152	0.0154713014302988	0.182423011143912	0.166284491116461	0.0399486922515496	0.0344148629070033	0.00492107757165111	0	0.0401474961600889	0.0372416910859595	0	0	0	0
4693	0.431975496445571	0.081302963887058	0.0122821861926515	0.219798373271725	0.118723491923756	0.0423604665041307	0.0289417447607232	0.0039455648885777	0	0.0396282198356243	0.0210414922901838	0	0	0	0
4700	0.411238381945712	0.069889423705351	0.0107438030805659	0.222241192563294	0.139414060228178	0.0411622171459765	0.0277068389391171	0.00447648864553108	0	0.0473273220705171	0.025800271675758	0	0	0	0
4710	0.399394306840463	0.0719392839016698	0.0136011140350664	0.246519922065034	0.115528792955093	0.0482717049717403	0.0220402912227107	0.00545388267717024	0	0.0579722932075106	0.0192784081235411	0	0	0	0
4711	0.441304975688587	0.0729188296773018	0.0114580760288353	0.223157702336883	0.101370102111139	0.0479136765945072	0.0230726898207276	0.00553328952513674	0	0.0564716845919697	0.0167989736249126	0	0	0	0
4719	0.406061016569565	0.0595573125989061	0.0105962649457195	0.202235639592167	0.162895551953088	0.0427914636524349	0.0292440244473004	0.00536514245372691	0	0.052762999292735	0.028490584494357	0	0	0	0
4722	0.407159589980447	0.0757218191040902	0.0129095751676019	0.21898587649411	0.136143053064669	0.0495551088418956	0.0249130377604712	0.00585649315646555	0	0.0461936768660933	0.0225617695641555	0	0	0	0
4741.5	0.441447177757987	0.0896024555398782	0.0292621322666148	0.160019419241973	0.13425613514777	0.0496882978970949	0.0385476183928568	0.00647519604338233	0	0.027001842501063	0.0236997252113799	0	0	0	0
