Sample	Ia	Ib	Ic	IIa	IIa'	IIb	IIb'	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
AMZ_001	0.881250316161932	0.00762737131074311	0.00247562930927928	0.0563211302697821	0.0428446512876822	0.00244077335536992	0.000462056616270258	0	0	0.00388449857352539	0.00269357311541629	0	0	0	0
AMZ_002	0.465811000752212	0.0536161138360918	0.0164081660716477	0.254505516193404	0.0843440283557118	0.0216745779872026	0.0132116113925153	0.00663549875340816	0.000711244014408703	0.0556457509627088	0.0222398682461877	0.00195457621310032	0.00147129365364786	0.0016375890235081	0.000133164544245416
AMZ_003	0.216447949043617	0.0661904583226892	0.0209683131440802	0.175894509760181	0.138087398297719	0.101694828134774	0.0316303153882253	0	0	0.133767701683931	0.0929156255927118	0.0202368842671859	0.00216601636488586	0	0
AMZ_004	0.181395287574397	0.0425091480111396	0.0134040897945377	0.222371749382416	0.150541561680006	0.0443170763164334	0.0446886197241521	0.00582011125620072	0.00134523184511452	0.140937684987487	0.138931359500529	0.00426426905760158	0.00770918583631332	0.00152352632425494	0.000241098709417641
AMZ_005	0.159959948294659	0.0271039028945484	0.00724742406097509	0.137526380406354	0.181119155356762	0.0522604219536093	0.0178222677463658	0.00488660450372124	0.000693020750115898	0.120081769676116	0.276762407927334	0.00948640434741941	0.00505029208201911	0	0
AMZ_006	0.770558608548632	0.0352781665236772	0.00742301766173437	0.105673171032945	0.0547019770434824	0.00426530072862105	0.00512365305996562	0.00125530088759443	0.000192222710687261	0.00772350851541413	0.0078050732872463	0	0	0	0
AMZ_007	0.523498706665249	0.125362811909677	0.0261010264619702	0.106200928922563	0.110117732517563	0.0323171544999956	0.0303748259785876	0.00439308014445645	0.00186083419174967	0.0158705272231949	0.0196855334029466	0.00201620919397032	0.00220062888807614	0	0
AMZ_008	0.256596456911391	0.041500825697709	0.00606502341525258	0.169681214390157	0.191756058282266	0.0569040916915518	0.0230576364561367	0.00433124444600041	0.00198308977051041	0.100199031509101	0.134593270321586	0.00749265736114908	0.0048030504260332	0.00103634932115507	0
AMZ_009	0.148024933733125	0.0358999658303528	0.0079779049760307	0.136933344925403	0.130154006037312	0.0560188115028377	0.0263433827142022	0.0103507746804936	0.002446870242281	0.225719837198817	0.16837427288406	0.0292132287081649	0.0109128552682924	0.0116298112986286	0
AMZ_010	0.231645445276469	0.0131718932901327	0.00469946302230424	0.367901460779931	0.0469348820255153	0.0188809029698133	0.00567569481719385	0.00452210863468664	0.000212825265141118	0.268584450902251	0.0328259196245864	0.00196262344145955	0.00215861406864197	0.00082371588187424	0
AMZ_011	0.689332352608122	0.0131076976194746	0.00611082804634697	0.00134989419884828	0.201796272337812	0.045835345267987	0.00474839425198425	0.00157702267889222	0	0.0287046847277143	0.00743750826281815	0	0	0	0
AMZ_012	0.705716276901701	0.0634183318228738	0.0148560709066812	0.112768129469656	0.0643264105468406	0.00878357481404691	0.0104526392632961	0.0017056606206715	0.00066708059333362	0.00944842314824392	0.00785740191265544	0	0	0	0
AMZ_013	0.793959476070501	0.0855028758742019	0.00842267440312961	0.0632589216183289	0.0324151642146306	0.00626509893251464	0.00315983361779054	0	0	0.00361898918529694	0.00339696608360626	0	0	0	0
AMZ_014	0.889256828292934	0.0349147999410291	0.0140465410619356	0.0426744661712683	0.0115715702614233	0.0018259790767619	0.000786757742776521	0	0	0.00148219126793253	0.00344086618393851	0	0	0	0
AMZ_015	0.722084808657135	0.0868123977926576	0.0160569191607908	0.0953083065576917	0.046803724527205	0.0100231635709615	0.00726729936172781	0.00169223687109404	0.000397797185627725	0.00776920204941937	0.00578414426568947	0	0	0	0
AMZ_016	0.613071808074681	0.141251486349122	0.0261568797036351	0.0985502759973122	0.0684286621635403	0.01927614061792	0.0139396672279514	0.00274316677957445	0.000677079743225292	0.00806453458648956	0.0078402987565485	0	0	0	0
AMZ_017	0.860561365896569	0.0416061853847005	0.0179684865939685	0.0508152251296449	0.0197448362779019	0.00260873699878116	0.000909970159120615	0.000810326847850111	0	0.00323474131708865	0.00174012539437484	0	0	0	0
AMZ_018	0.900803810530528	0.0252512108512817	0.00980944672628823	0.0395217097316388	0.01669848706446	0.00185706658906377	0.000840400867469158	0	0	0.00376990134517633	0.0014479662940943	0	0	0	0
AMZ_019	0.881696688796289	0.0528641065910478	0.00778745011849035	0.0381907998466324	0.0117851822548215	0.00224142200036167	0.000615387632622668	0.00028243614768022	0	0.00166302765168047	0.0028734989603736	0	0	0	0
AMZ_020	0.901992948968377	0.0155244354549075	0.00537945848103045	0.0507648908756835	0.0192419822555119	0.00112545769148935	0.00122358899215198	0.000271940449990927	8.81999661255133e-05	0.00225368967969179	0.00213340718503987	0	0	0	0
AMZ_021	0.810435052102745	0.0383372414039098	0.00717556828512173	0.0941040970792309	0.0318364221664101	0.00517943547088652	0.00227117640589395	0.00112074406449138	0	0.00613148324262162	0.00340877977868863	0	0	0	0
AMZ_022	0.917555410024276	0.0160958242067612	0.00633214447177452	0.0419332205375873	0.0119027198638649	0.00152816542597115	0.000632391678681513	0	0	0.00182954731167468	0.00219057647940849	0	0	0	0
AMZ_023	0.749460185716707	0.0719617992711739	0.0155502331453949	0.0932807750329733	0.0444206141705485	0.00649458062333284	0.00659293155084309	0.0011484656243662	0.000417983924376586	0.00588047476860114	0.00479195617168222	0	0	0	0
AMZ_024	0.868208039311661	0.0173306596497346	0.00924118781666183	0.079477327350726	0.0160544585687738	0	0	0.00226155554655479	0	0.00501235583241285	0.00241441592347462	0	0	0	0
AMZ_025	0.79993381476243	0.0387125452896415	0.0117627043966819	0.0970272274149919	0.0320163398660732	0.00418147712258787	0.00338717006894405	0.000958573460921913	0.000165078689800738	0.0085253306655138	0.00332973826241287	0	0	0	0
AMZ_026	0.658659517001948	0.119701987627063	0.0201800607295611	0.0782016110286916	0.0802229673055795	0.0145266914516851	0.0133434104072462	0.00200300754447452	0	0.00508267377129586	0.00807807313245541	0	0	0	0
AMZ_027	0.820155347217866	0.0478632326724362	0.0108150224474212	0.057156204427587	0.0451551395413068	0.00296501410310124	0.00724821089289173	0.000634326546132204	0.000524117678894175	0.00404679049010076	0.00343659398226283	0	0	0	0
AMZ_028	0.928277175443156	0.0156669893915109	0.00465442299876996	0.0366286855024188	0.00931579714141689	0.00126686943652101	0.000547003676304852	0	0	0.0015465273711173	0.00209652903878451	0	0	0	0
AMZ_029	0.901804850790273	0.014028882553341	0.00187699706548478	0.0563891391713643	0.0186195627543988	0.00218922928681016	0.00106626615846448	0	0	0.0026184041665368	0.00140666805332618	0	0	0	0
AMZ_030	0.971215488289773	0.00443762322070054	0.00135960480150658	0.0152124220798498	0.0066309005577006	0	0	0	0	0.000567283340654256	0.000576677709815691	0	0	0	0
AMZ_031	0.937007234501777	0.0143554528322824	0.0118432454844255	0.0257808185566131	0.00737485557176595	0.000993163047355912	0.000610985973023789	0.000348559072014481	0	0.000895540299742834	0.000790144660998879	0	0	0	0
AMZ_032	0.836098582899089	0.0172906254941434	0.00265242924053154	0.108565112599039	0.0195513292156226	0.00389811560559456	0.00139121972039867	0.000317124945875157	0	0.00767749025351004	0.00255797002619546	0	0	0	0
AMZ_033	0.772951144746401	0.0547644171039399	0.0122544374218589	0.111503234828426	0.0283952279039994	0.00534954931389149	0.00166747684958233	0.00111621815336193	0	0.00876568775808316	0.00323260592045608	0	0	0	0
AMZ_034	0.80290763104329	0.0865373779554272	0.0165420239243834	0.0568780039176501	0.022096825206102	0.00680730392041143	0.00142496872082153	0.00176372419740277	0	0.00324091489765611	0.00180122621685559	0	0	0	0
AMZ_035	0.786483180277818	0.0750106316508269	0.0116718996225935	0.0668468927148943	0.0403980797323117	0.0055597035077317	0.00582548486841933	0.00109677534324858	0.000259139469332789	0.00370388506864152	0.00314432774418176	0	0	0	0
AMZ_036	0.836381002248831	0.0490719798382055	0.0119990029803637	0.0590454235248462	0.0311633354771904	0.00330403342660161	0.00211006268716951	0.000619910472649946	0	0.00311581178669733	0.00318943755744474	0	0	0	0
AMZ_037	0.826601979317702	0.0438496757317082	0.012367660582434	0.0672175806031624	0.0366383247480881	0.00302312642565097	0.00204674199130229	0.000821132515443131	9.31679262670306e-05	0.00378363017308714	0.00355697998515495	0	0	0	0
AMZ_038	0.878310621386786	0.0326340823346432	0.00535272602154821	0.0585982430610462	0.0170560712905905	0.00254411956696311	0.000674441094004931	0.000239907473621972	0	0.00244781577051348	0.00214197200028262	0	0	0	0
AMZ_039	0.87391506692576	0.0420770844233117	0.00721651580230922	0.049470131486394	0.0184538224432883	0.00323447801514915	0.00127549391481451	0.00046930292308651	0	0.00249749492886363	0.00139060913702252	0	0	0	0
AMZ_040	0.946267362737425	0.0104809701040033	0.0013857490533643	0.0270391529426974	0.0122793768841064	0	0	0	0	0.00154642899988751	0.00100095927851569	0	0	0	0
AMZ_041	0.900111533605333	0.0233097619650009	0.016336284063142	0.0351373833131315	0.0127595174875599	0.00430302207349096	0.000697463581342998	0.00429113121235702	0	0.00191603190473915	0.00113787079390292	0	0	0	0
