Sample	Ia	Ib	Ic	IIa	IIa'	IIb'	IIb	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
200.5	0.335508715452166	0.0361749597380478	0.0086461219868686	0.238718769060394	0.146818142586551	0.0200833242094241	0.0329984555945822	0.0071750537734096	0.000455936015364836	0.0926672654718583	0.0807532561113328	0	0	0	0
198	0.374262582334065	0.0227695912852559	0.00736488768789056	0.284437172774869	0.122805058267185	0.0072859314305016	0.0152225130890052	0.00428284918088161	0.000541082587400777	0.115742273264651	0.0452860580982942	0	0	0	0
206	0.440401931845763	0.00981298010172708	0.00391898004132786	0.326467668737304	0.0753161903373813	0.00370749673891543	0.00711291134814411	0.00259381086974272	0.000294252601403791	0.0979377624774073	0.0324360149008829	0	0	0	0
210	0.450989336057647	0.0103942608143084	0.00343561683545574	0.34783893183682	0.0553694950084528	0.000727375890708541	0.00719268546241762	0.00288461697252401	0.000161436392544331	0.0986694161740331	0.0223368285550888	0	0	0	0
214	0.406420095362764	0.00994026869346543	0.00348196744853938	0.315009397691252	0.105936529957492	0.00054374150767665	0.00754051532848665	0.00397167177201651	0.000180797880468033	0.103547620789342	0.0434273935684968	0	0	0	0
218	0.48856730002942	0.00835995172805578	0.00497442367939237	0.334716106092962	0.0435667962297506	0.00149435261627881	0.00509836097651703	0.00373485016235757	0.000110328832923499	0.0930255131200349	0.0163520165323072	0	0	0	0
222	0.432696079855229	0.0131005703994896	0.00390632635841774	0.338201682536761	0.0697543887084568	0.00139029032515616	0.00505546937934178	0.00360396108506938	0.000246346707080692	0.0925892161285276	0.0394556685164709	0	0	0	0
226	0.460760136482434	0.00667322591892743	0.00401063556486039	0.355267052272117	0.0447235668777102	0.00137090505835641	0.00914718096724005	0.0040166622519452	0.000107482846905564	0.0939733004461868	0.0199498513133169	0	0	0	0
230	0.423300825419932	0.00934037597921562	0.00349436303420127	0.330630244263855	0.0862064250065232	0.000634970529008073	0.00549009206717752	0.00300119298632106	0.000675640042735558	0.101935422073349	0.0352904485976805	0	0	0	0
234	0.424130289439518	0.00647488751078639	0.00324699982059157	0.36486856364374	0.0621801984852991	0.000721412078501171	0.00550301836269559	0.00295080902875932	7.13792415311694e-05	0.105808453506232	0.0240439888823447	0	0	0	0
238	0.427087563459988	0.0151390328587827	0.00326426660765519	0.35038493343738	0.0655319897868728	0.00035536299177851	0.00389333416156463	0.00372600555691437	0.000389786355148169	0.096306476639348	0.0339212481445678	0	0	0	0
242	0.502086000008965	0.00845028754824221	0.00372232208092589	0.337065528725688	0.0388295822818287	0.000965480763627725	0.00677324703150704	0.00297949285723891	0.000230863361916331	0.0827776398183717	0.0161195555216883	0	0	0	0
246	0.400260250385506	0.00650045765347768	0.00289893250021864	0.361525777160708	0.0706885116644747	0.000393555366978512	0.00477885071786117	0.00210325693250454	0.000202793160570841	0.119965993842462	0.0306816206152384	0	0	0	0
250	0.41452683229671	0.0070356492708421	0.00298038315623084	0.382474408085281	0.0599057773036896	0.000913439701767941	0.00594334689728047	0.00226367780431102	0.000104983343085434	0.10320523512658	0.0206462670142205	0	0	0	0
254	0.507740750892502	0.0180172379023205	0.00288622449257737	0.324103866440539	0.040887611018618	0.00089694169146088	0.00423657969854335	0.00344686111917358	0.000400548448480437	0.0750814007781186	0.022301977517666	0	0	0	0
258	0.426450519520216	0.0089116596561025	0.00430045583453679	0.366365330412997	0.0580199768778002	0.0012338903023716	0.00538639414788871	0.00311015006919835	0.000113382962281919	0.103315422328134	0.0227928178884722	0	0	0	0
262	0.427248898777322	0.0137982391782443	0.00337103735714403	0.338780851451745	0.0754971134969102	0.000781420519070621	0.00473941790042785	0.00345811515507297	0.00055316270538233	0.0993169336548824	0.032454809803799	0	0	0	0
266	0.396922987895605	0.00786227724528365	0.00305941031357695	0.371072041313939	0.0682527101763994	0.000586785660126498	0.00616781897063884	0.00318048298388933	0.000105277820480489	0.118854542241744	0.0239356653783169	0	0	0	0
274	0.420633993501491	0.00756859769615221	0.00335901931545926	0.353510567527443	0.0850952775070162	0.000984766728471212	0.00649203824840025	0.00303581270340877	0.000126843831110948	0.0041734700850426	0.115019612856004	0	0	0	0
278	0.406471990675745	0.0101358874652402	0.0040409668940194	0.367028534664976	0.0567942230215755	0.00108164766347745	0.00682233467626024	0.00427000009014426	0.000409572118580435	0.113643784603293	0.0293010581266887	0	0	0	0
282	0.435622803622324	0.00900163346313924	0.00388427817963952	0.366912628101759	0.0664639430087387	0.000497372971266494	0.00595653330800974	0.000631377215878219	9.32574321124677e-05	0.0922077156648542	0.0187284570322779	0	0	0	0
288	0.398384718026796	0.00879734228127277	0.00299832339289286	0.365259846533276	0.0785036601484847	0.000564698160315932	0.00475302705411939	0.00337798456494438	0.000167097000075998	0.100478911276431	0.0367143915613917	0	0	0	0
291	0.365140564086087	0.00742564262057699	0.00329569848464023	0.370561779210444	0.0820602193327654	0.0013911845790322	0.00631578647863797	0.00293855937953332	5.38143572656112e-05	0.125838267364829	0.0349784841061881	0	0	0	0
297.5	0.450097726445853	0.0127969952281925	0.00315133860376066	0.346656822355005	0.0630049974825033	0.00116576411894783	0.00787105781520324	0.00359030707360148	0.000109116936577077	0.0909066678133399	0.0206492061270166	0	0	0	0
300.5	0.406628913028319	0.0100324108002701	0.00292341062578651	0.36412945201473	0.0717278788203077	0.00269043342348962	0.00733594897835531	0.00309324828668271	8.48055146882267e-05	0.111496701978804	0.0198567965285672	0	0	0	0
304.5	0.378516934111297	0.00877309335859102	0.00273639816148526	0.351704335096647	0.0880591710182937	0.0020445962986934	0.00691061254866812	0.00314654683037953	9.70936989744284e-05	0.118529410392403	0.0394818084845673	0	0	0	0
308.5	0.345522025113385	0.00640444720357547	0.00207193495075438	0.376920306529895	0.0832302500812501	0.00133851361889827	0.00696486154446627	0.00277556458248978	0.000162980383961424	0.148253776112396	0.0263553398789278	0	0	0	0
312.5	0.340232762269226	0.00879199802478955	0.00252368114915682	0.356440902320975	0.101962722198391	0.00179760311402483	0.009172373318867	0.0033989841248801	0.000383801637812761	0.133732139288339	0.0415630325535384	0	0	0	0
316.5	0.304499928541765	0.00676365697252912	0.00125488183625008	0.378881403286434	0.10857030159561	0.00134326773911434	0.00634882304058989	0.00169746187081647	0.000103517569434622	0.157146628140029	0.0333901294074267	0	0	0	0
320.5	0.317587393944953	0.0119028934789851	0.00264636861613976	0.367733292113131	0.103398960165049	0.0020041149042131	0.0111110386331339	0.00353702412277927	0.000238386656040077	0.142904926552136	0.0369356008134401	0	0	0	0
324.5	0.375102102655846	0.0113145525527704	0.00282991422116844	0.369970796814401	0.0873305484611037	0.0026588657098116	0.00901371621546295	0.000704184232295881	0.000110245026298415	0.11608164829513	0.0248834258157117	0	0	0	0
328.5	0.316169578649134	0.021484714749568	0.00647518398409378	0.368940907239379	0.0987107156469493	0.00142586380365685	0.0155948485461083	0.00387767727878553	0.00033618659846018	0.130530053496667	0.0364542700071982	0	0	0	0
332.5	0.315919519207149	0.0167816056729161	0.01030015247665	0.355663095312107	0.10673594856375	0.00160580906464559	0.0194332334682684	0.00836891658620562	0.000116494873835161	0.141503855249562	0.0235713695249117	0	0	0	0
336.5	0.282808472730728	0.0137142517227146	0.00237288111002377	0.388862620267205	0.0906363688462691	0.0018677642904244	0.0139585765034715	0.00420067421452267	0.000523977996261134	0.163581244155756	0.037473168162624	0	0	0	0
340.5	0.314485623019285	0.00657944166920772	0.00166125748782474	0.367888890639211	0.123102529535077	0.00438572835679901	0.00678752830227094	0.00233078501385055	0.000152180430709269	0.139702299082059	0.0329237364637059	0	0	0	0
344.5	0.314113006142395	0.0115286036196957	0.00213775464869415	0.382128690937361	0.104728674623491	0.0053399590048215	0.0116243413477079	0.00388937050116171	0.000312311446771139	0.131230820828562	0.0329664668993384	0	0	0	0
348.5	0.257932935091092	0.0141052368149016	0.00299660817966553	0.37350415238701	0.116435897144543	0.0022627907669903	0.0176400767712476	0.00424033665181913	0.000175173997133184	0.181055588421786	0.0296512037738116	0	0	0	0
352.5	0.266692043877727	0.0268780714623078	0.00494250717476487	0.312383610557979	0.149343807644814	0.00536935756755155	0.0286180397754178	0.00674883098838534	0.000296033517470866	0.148205010390196	0.0505226870433859	0	0	0	0
356.5	0.215522132795124	0.0170740834757622	0.0020738377768154	0.358089791655093	0.117645032361628	0.00365588766176156	0.0188109626970066	0.00324790607730928	0.000189669186951419	0.227265502455213	0.0364251938573357	0	0	0	0
360.5	0.260998224702653	0.021695080380388	0.00331974090405822	0.361033054866493	0.104374991930731	0.00112504511521055	0.0259827555504067	0.00838514821807858	0.000306137890228397	0.173830171168534	0.0389496492732191	0	0	0	0
364.5	0.229877389363362	0.0335953484541132	0.00417124962309815	0.360706612310192	0.115243253244272	0.00123783861336078	0.0369074531931028	0.00996808209256394	0.000157077870534305	0.171251749055407	0.036883946179995	0	0	0	0
368.5	0.281548167426637	0.0398162274902602	0.00444502021247565	0.312382571702879	0.131465718115181	0.00137346541892657	0.0368148569994831	0.00838905038655255	0.000582167582698276	0.127913176671738	0.0552695779931687	0	0	0	0
374.5	0.262435720769315	0.0337215191958506	0.00447513303713081	0.34187478801207	0.117466984150431	0.00199732371000273	0.03504283137713	0.00921816030428243	0.000273536190225773	0.156020661951764	0.0374733413017975	0	0	0	0
377.5	0.274627618326101	0.0386874976332545	0.00481110842716622	0.314106814368832	0.132639942572465	0.00257443105790994	0.036214498523974	0.00955194950441232	0.00160950452051324	0.132460128718025	0.0527165063473467	0	0	0	0
380.5	0.214571847255391	0.0355430367685739	0.00428260487239462	0.332376066166423	0.137981530076816	0.00184928831859244	0.0426147306772331	0.00999448328160365	0.000107043613611727	0.171298723747883	0.0493806452214786	0	0	0	0
382.5	0.223640666703737	0.0247193338523132	0.00435790146797153	0.32667099922153	0.13717415480427	0.00122282306494662	0.0268774327179715	0.00950303047153025	0.000399938834519573	0.174132006227758	0.071301712633452	0	0	0	0
384.5	0.233426665772457	0.0209253620532749	0.0033313471876077	0.309726997369749	0.156036563482052	0.00063095031625396	0.0232148503117856	0.00634767654442603	0.000378559429109138	0.169875154210106	0.0761058733231791	0	0	0	0
386.5	0.221577505295272	0.0270923612055732	0	0.296131050698587	0.161217232467305	0.00554594741649016	0.0266609665571987	0	0	0.17103437554653	0.0907405608130429	0	0	0	0
388.5	0.208030850430143	0.0141042190106951	0.00272733104657339	0.282667135043333	0.189703251210768	0.00229408071774095	0.0178758293827441	0.00556817476952752	0.000492753751254693	0.181655915406216	0.0948804592310035	0	0	0	0
390.5	0.183182721231881	0.0187599517174731	0.00263112646455739	0.264013961554751	0.167142825978131	0.00180138620963626	0.0254336460082976	0.00829033305422482	0.000389186318421523	0.207499326349947	0.12085553511268	0	0	0	0
392.5	0.200874345470582	0.0143315181021149	0.00214746510442394	0.290456670813032	0.150556616123207	0.00152816331237665	0.0187245643785262	0.00525941519256205	0.000121472929462872	0.220639397680181	0.095360370893532	0	0	0	0
394.5	0.15367265543143	0.00766376566445285	0.000924273088972836	0.250782656394286	0.1562487640171	0.00095991938251747	0.0118765889702432	0.00265207174321122	0.000298807164423887	0.253666507148722	0.16125399099464	0	0	0	0
396.5	0.184816014576789	0.0132675767345625	0.00225195350501292	0.267346523485268	0.161694360483538	0.00167989172892518	0.0157572063688718	0.00536301394753401	9.05659187569344e-05	0.216810045317155	0.130922847933586	0	0	0	0
398.5	0.17774001167347	0.0159886316849128	0.00175505757451178	0.238671824158164	0.197413439104734	0.00121183702497976	0.0184903703813497	0.00485074581807784	0.000151879185571456	0.193740707033658	0.14998549636057	0	0	0	0
400.5	0.156730047692629	0.0127502340334536	0.00154642035646271	0.271057827298057	0.168570667389862	0.00166990708357302	0.0186439228400401	0.0037057679180189	0.000171545287655011	0.228276469854674	0.136877190245575	0	0	0	0
404.5	0.161078454167121	0.0219183889887548	0.00258013755344392	0.271083481226413	0.17398377024672	0.00136268197173479	0.0330246109358938	0.00514069378528224	0.000284096704000743	0.19602337494612	0.133520309474516	0	0	0	0
406.5	0.13921651886625	0.0240907651135447	0.00262977196927425	0.23481312228421	0.186715947637171	0.00120337618450356	0.0354894379007797	0.00499961264294211	0.000139664284012156	0.188174665671633	0.182527117445679	0	0	0	0
408.5	0.141880580608623	0.0258017766887765	0.00249759643863148	0.270936313405633	0.189026231270596	0.00134187251530943	0.0387170301858689	0.00372959876530305	0.000108937289975846	0.19316031036535	0.132799752465933	0	0	0	0
410.5	0.158539498386389	0.0289603187671707	0.00339415304840908	0.268160313326823	0.155740393044578	0.00391460909445937	0.0349809313685231	0.00545596341823472	0.000148505215090478	0.172743552379204	0.167961761951119	0	0	0	0
412.5	0.15496644140172	0.0356757322437637	0.00392035055468118	0.31529692535412	0.147459273802227	0.00303178219553873	0.0459887058052784	0.00517739329663822	0.000206685651621976	0.20652244820865	0.0817542614857613	0	0	0	0
416.5	0.147883644870939	0.0376620265953364	0.00337615879433914	0.34733226435285	0.139169288717586	0.00271752610013721	0.0491915995754098	0.00415373886876008	8.85589041331302e-05	0.188965341237465	0.0794598519830449	0	0	0	0
420.5	0.13520592868191	0.0341227885080777	0.00275900486998745	0.323263346397491	0.157402150000831	0.000860058505190789	0.00157018298928349	0.00537578065142627	8.63848538742281e-05	0.230826543444156	0.108527831097772	0	0	0	0
422.5	0.140344549458785	0.0544529318753758	0.0113562665029644	0.275200843557465	0.0979958732301221	0.00505369545367841	0.0625489339823329	0.0138356205501908	0.00095355302105311	0.239207218651993	0.0990505137160391	0	0	0	0
425.5	0.333079468931	0.0158062342422552	0.00410124907215785	0.340304951770141	0.0952427039812438	0.00203052896320578	0.0150460830813084	0.00427962857447679	0.00032749553295275	0.138391513103965	0.0513901427472929	0	0	0	0
