Sample	b-1a	b-1b	b-1c	b-IIa	b-IIa'	b-IIb	b-IIb'	b-IIc	b-IIc'	b-IIIa	b-IIIa'	b-IIIb	b-IIIb'	b-IIIc	b-IIIc'
1201	0.274140174593463	0.149361001714911	0.0327319654260132	0.0826044242983084	0.185434458510354	0.0721016709611258	0.0899229582647512	0.00687903413448695	0.0108388414439724	0.0310062822623038	0.0506652820985686	0.00508440982066683	0.00922949647107488	0	0
1230	0.199582946861909	0.131383627717871	0.0194871197539035	0.135500054535332	0.14943542577276	0.111895129503753	0.104451272034471	0.00598406810144847	0.0132606149621173	0.0407762316240484	0.0745031900153991	0.00612656642618854	0.00761375269079742	0	0
1270	0.266594529233855	0.117508272870418	0.0459424217358785	0.14538400827194	0.164193395345798	0.0658896405602618	0.0604985437953937	0.0220732589312387	0.0101853925252959	0.0380236374496523	0.0521691414613026	0.00698837727504994	0.00454938054391489	0	0
1286	0.207022226530404	0.148029432855392	0.0403967123312765	0.104243843444565	0.176061323409928	0.0837277800527184	0.107075921913861	0.00899540784257903	0.0135242146334613	0.0361850403211495	0.0590191261658329	0.00536190573960525	0.0103570647592275	0	0
1324	0.379170879304568	0.141090054766438	0.0322441955703584	0.106424381601919	0.136550152059525	0.0483192172419208	0.0742894173264372	0.00478190335347431	0.00730304990693273	0.0327627683844177	0.0294722215990358	0.00232842871333994	0.00526333017163289	0	0
1324	0.395479342719142	0.141811554253647	0.0354066040763262	0.100443508240696	0.139997202359892	0.0458771835992463	0.0703153927804429	0.00304037652944516	0.00719980910220438	0.0300088043379878	0.0274045305313048	0.000859862915634694	0.00215582855403148	0	0
1381	0.30832877948368	0.176169254855331	0.0516686159849078	0.0928063606917797	0.131784607829254	0.0674682086317281	0.0799819641353791	0.0103330617559567	0.00876484521700184	0.0319572009860282	0.0321194902660578	0.00322624302485743	0.00539136713803789	0	0
1381	0.307033977855079	0.18617472076399	0.054332426214349	0.0936820865138859	0.12926199927983	0.0656023730605435	0.0735853307940551	0.00995782129726621	0.00887416529582839	0.0320498441457323	0.0310027130443895	0.00279138400277388	0.00565115773227727	0	0
1401	0.317457049692994	0.141267025765613	0.027782680709236	0.114072947804091	0.182710151922037	0.066988994523309	0.058978733897814	0.0105171196204489	0.00391725400558744	0.0372087501855854	0.0323289799245841	0.00283699568868296	0.00393331626001735	0	0
1457	0.281617432246417	0.162804817573978	0.0428678680702386	0.0981252162852687	0.162582200020988	0.0841997215003289	0.0673950706803759	0.0135488574886082	0.00508135021682206	0.0307548705606737	0.040846974738996	0.00462505394641433	0.00555056667088974	0	0
1485	0.387242921965872	0.177981082635649	0.0466134083210839	0.097890969514923	0.108191985684157	0.0731028312136512	0.0508410557934428	0.0117121492937943	0.00444621972263054	0.0188892439445261	0.0187083786029271	0.00153831405381223	0.00284143925353103	0	0
1485	0.397938167634523	0.164538277624347	0.0458582332186929	0.0969222629081747	0.108862551926394	0.0712876403438718	0.0538070642854141	0.0118479244100763	0.00546858526030395	0.0176063190813978	0.0205881241366205	0.00191051688506275	0.0033643322851216	0	0
1506	0.339591902809195	0.173564383445746	0.0467034422021087	0.114584183410905	0.111481101880402	0.0898421378886055	0.0516605116886846	0.0141374076212029	0.0051449331601701	0.0206833241344531	0.0258096041639117	0.00295652121776964	0.00384054637684587	0	0
1506	0.353979277794144	0.170489660835282	0.0475118936435605	0.108404528046434	0.111707795586032	0.0861262763336864	0.055033565460483	0.0132553795623641	0.00555820206971336	0.0201377092748482	0.0213834861695259	0.00279712170691806	0.00361510351700838	0	0
1533	0.369011815091057	0.123624301822847	0.0373552944287041	0.134562499973174	0.125828337590463	0.0745157237671457	0.0422428027609035	0.00961792278105963	0.00343589217522235	0.0354551451895149	0.0371080647106618	0.00347838478301085	0.0037638149262367	0	0
1563	0.318397878623326	0.115491814672514	0.0360411942115777	0.149991750289331	0.147200237213638	0.0835963461854244	0.0445626137288574	0.0107580952500962	0	0.0408657982746882	0.0449851406762715	0.00400967441010631	0.00409945646417007	0	0
1596	0.392760750851812	0.086442673998047	0.0325600668876698	0.124844410730526	0.100798272487626	0.0867501854498363	0.0860026235389277	0.0253364290533886	0.00181468427427297	0.0331289892669598	0.0230104480551865	0.00229297721376813	0.00425748819197935	0	0
1641	0.271763365660085	0.0959445073090773	0.022427367588351	0.157621674561308	0.177233561248479	0.0898432487970715	0.0448199229422903	0.0112362288602707	0.00298108767345196	0.0557625686256892	0.0579550763034447	0.00664068237284168	0.00577070805763978	0	0
