Sample	brGDGT Ia [%]	brGDGT Ib [%]	brGDGT Ic [%]	brGDGT IIa [%]	brGDGT IIa' [%]	brGDGT IIb [%]	brGDGT IIb' [%]	brGDGT IIc [%]	brGDGT IIc' [%]	brGDGT IIIa [%]	brGDGT IIIa' [%]	brGDGT IIIb [%]	brGDGT IIIb' [%]	brGDGT IIIc [%]	brGDGT IIIc' [%]
404	0.26973026973027	0.106893106893107	0.0549450549450549	0.0959040959040959	0.0749250749250749	0.0659340659340659	0.0939060939060939	0.00899100899100899	0.025974025974026	0.0829170829170829	0.101898101898102	0.00699300699300699	0.010989010989011	0	0
401	0.261261261261261	0.117117117117117	0.0620620620620621	0.0660660660660661	0.0880880880880881	0.0700700700700701	0.0960960960960961	0.00700700700700701	0.031031031031031	0.0840840840840841	0.117117117117117	0	0	0	0
400	0.27	0.112	0.06	0.076	0.078	0.046	0.117	0.008	0.028	0.078	0.108	0.008	0.011	0	0
399	0.271728271728272	0.104895104895105	0.051948051948052	0.100899100899101	0.0719280719280719	0.0689310689310689	0.0939060939060939	0.00899100899100899	0.025974025974026	0.0809190809190809	0.100899100899101	0.00799200799200799	0.010989010989011	0	0
398	0.294294294294294	0.0990990990990991	0.0500500500500501	0.0890890890890891	0.0780780780780781	0.0650650650650651	0.0950950950950951	0.00800800800800801	0.023023023023023	0.0750750750750751	0.106106106106106	0.00700700700700701	0.01001001001001	0	0
396	0.247	0.115	0.057	0.077	0.077	0.07	0.105	0.008	0.027	0.079	0.119	0.007	0.012	0	0
394	0.249249249249249	0.118118118118118	0.0610610610610611	0.0600600600600601	0.0780780780780781	0.0660660660660661	0.128128128128128	0.00700700700700701	0.03003003003003	0.0760760760760761	0.1001001001001	0.00800800800800801	0.012012012012012	0.002002002002002	0.004004004004004
390	0.255234297108674	0.10468594217348	0.0608175473579262	0.0677966101694915	0.0727816550348953	0.0638085742771685	0.120638085742772	0.00797607178464606	0.0279162512462612	0.0737786640079761	0.11864406779661	0.00797607178464606	0.0119641076769691	0.00199401794616152	0.00398803589232303
386	0.235470941883768	0.114228456913828	0.0551102204408818	0.124248496993988	0.0841683366733467	0.0731462925851703	0.093186372745491	0.0100200400801603	0.0270541082164329	0.0901803607214429	0.093186372745491	0	0	0	0
385	0.294705294705295	0.102897102897103	0.037962037962038	0.1998001998002	0.0679320679320679	0.0599400599400599	0.0649350649350649	0	0	0.101898101898102	0.0699300699300699	0	0	0	0
384	0.285714285714286	0.0989010989010989	0.03996003996004	0.1998001998002	0.0809190809190809	0.0579420579420579	0.058941058941059	0	0	0.100899100899101	0.0769230769230769	0	0	0	0
383	0.27027027027027	0.0950950950950951	0.037037037037037	0.218218218218218	0.0710710710710711	0.0680680680680681	0.0510510510510511	0.011011011011011	0.012012012012012	0.1001001001001	0.0660660660660661	0	0	0	0
382	0.277	0.098	0.038	0.208	0.085	0.066	0.058	0	0	0.1	0.07	0	0	0	0
381	0.288288288288288	0.0900900900900901	0.037037037037037	0.216216216216216	0.0660660660660661	0.0600600600600601	0.0630630630630631	0.00900900900900901	0.014014014014014	0.0900900900900901	0.056056056056056	0.004004004004004	0.00600600600600601	0	0
380	0.275724275724276	0.0939060939060939	0.033966033966034	0.218781218781219	0.0679320679320679	0.0679320679320679	0.0579420579420579	0.00899100899100899	0.013986013986014	0.0979020979020979	0.0629370629370629	0	0	0	0
379	0.310689310689311	0.102897102897103	0.03996003996004	0.186813186813187	0.0679320679320679	0.0599400599400599	0.0649350649350649	0	0	0.0939060939060939	0.0729270729270729	0	0	0	0
378	0.326	0.121	0.064	0.126	0.061	0.059	0.076	0.008	0.021	0.072	0.066	0	0	0	0
376	0.358641358641359	0.117882117882118	0.0599400599400599	0.110889110889111	0.0609390609390609	0.0599400599400599	0.0809190809190809	0.00799200799200799	0.018981018981019	0.0579420579420579	0.053946053946054	0.003996003996004	0.00799200799200799	0	0
374	0.293706293706294	0.106893106893107	0.048951048951049	0.163836163836164	0.0799200799200799	0.0589410589410589	0.0819180819180819	0	0	0.0919080919080919	0.0739260739260739	0	0	0	0
371	0.266	0.108	0.054	0.103	0.069	0.07	0.113	0.009	0	0.082	0.107	0.008	0.011	0	0
369	0.276723276723277	0.106893106893107	0.0579420579420579	0.104895104895105	0.0659340659340659	0.0679320679320679	0.103896103896104	0.00899100899100899	0.024975024975025	0.0699300699300699	0.0949050949050949	0.00699300699300699	0.00999000999000999	0	0
367	0.247	0.112	0.055	0.082	0.074	0.072	0.124	0.008	0.031	0.07	0.101	0.007	0.011	0.002	0.004
365	0.259	0.101	0.058	0.105	0.071	0.071	0.105	0.009	0.029	0.072	0.099	0.008	0.013	0	0
363	0.266733266733267	0.103896103896104	0.0499500499500499	0.0969030969030969	0.0629370629370629	0.0769230769230769	0.104895104895105	0.00899100899100899	0.028971028971029	0.0769230769230769	0.103896103896104	0.00699300699300699	0.011988011988012	0	0
362	0.249249249249249	0.107107107107107	0.051051051051051	0.0830830830830831	0.0760760760760761	0.066066066066066	0.114114114114114	0.00900900900900901	0.031031031031031	0.0790790790790791	0.112112112112112	0.00900900900900901	0.013013013013013	0	0
