Sample	Ia 1022	Ib 1020	Ic 1018	IIa5 1036	IIa6 1036'	IIb5 1034	IIb6 1034'	IIc5 1032	IIc6 1032'	IIIa5 1050	IIIa6 1050'	IIIb5 1050	IIIb6 1050'	IIIc5 1050	IIIc6 1050'
2.5	0.888688932186967	0.0257261839808135	0.0231588051314044	0.0163477411607067	0.00165639598692488	0.0433715866960175	0	0	0	0.00105035485716641	0	0	0	0	0
26.5	0.702772868560515	0.136124152895047	0.0627298958886821	0.0892187703329754	0	0.00218893481133069	0.000347747653114833	0.0033724838734021	0	0.00181804388353925	0.00142710210139438	0	0	0	0
27.5	0.679971629317836	0.118257534814405	0.0566325101472745	0.121098677293941	0.00968634182022284	0.00257346109270953	0.00216891208819817	0.00383105029967816	0	0.00307132683487603	0.00270855629085902	0	0	0	0
40	0.75075076219367	0.0213543784268231	0.0199932706710619	0.155394913679019	0.0410801525568592	0.00139845057772775	0.000780007720056868	0.00217274255972851	0	0.00614022686907492	0.000935094745979264	0	0	0	0
52.5	0.770824297225297	0.012462505514874	0.0589676511031079	0.142732661103117	0.00380169001481581	0.00162805293213753	0.000860542264129839	0.0023225941612021	0	0.00543950771372189	0.000960497967596953	0	0	0	0
60	0.822288133258648	0.0108998080825704	0.0113130274285819	0.138341245718588	0.00401281898237849	0.00182275644851746	0.00113635320153167	0.00363862590793473	0	0.00631307334184259	0.000234157629406525	0	0	0	0
70	0.812047672199618	0.0161498365954238	0.0182445498272762	0.133081007580363	0.00474434543918025	0.00320666919416022	0.00107171374652911	0.00412376811164462	0	0.0062608415706325	0.00106959573517233	0	0	0	0
77.5	0.831672942893503	0.0118219700023228	0.0131361703852077	0.12830603436854	0.00122942927635325	0.00223054749785295	0.00111772503641403	0.00352222085901678	0	0.00597623889465924	0.000986720786129759	0	0	0	0
82	0.830779387406646	0.0145750769720464	0.0150623537432877	0.124736958960686	0.00319677139842539	0.00186854923165491	0.00102956866181617	0.00291973097606646	0	0.00520482325410501	0.000626779395265949	0	0	0	0
88	0.811606023661933	0.0156644401325618	0.0142220581417312	0.141263286226969	0.00319384583683912	0.00180297748853821	0.00129642667032986	0.00383347356491578	0	0.00607002421141199	0.00104744406476982	0	0	0	0
92	0.796219278541226	0.0151641781183932	0.01375776294926	0.157079974894292	0.00420850951374207	0.0021984011627907	0.00099762156448203	0.0021984011627907	0	0.00707667151162791	0.00109920058139535	0	0	0	0
98	0.794245936510684	0.012314398797674	0.0120835857850659	0.164396568230163	0.00306351816734468	0.00171273746855828	0.00135602644907294	0.00171273746855828	0	0.0077925620506687	0.00132192907221038	0	0	0	0
100	0.793467473583841	0.0155811555002043	0.015009048629084	0.156899336433867	0.00470334118196501	0.00222810329058748	0.00117145692657962	0.00222810329058748	0	0.00748798380976474	0.00122399735351924	0	0	0	0
102.5	0.79228167398654	0.0131085257216179	0.0129506694558193	0.162621157950257	0.00317818306515829	0.00228269075304279	0.00112297748580773	5.49499659425491e-05	0.00357205519866257	0.00752345729507678	0.00130365912207477	0	0	0	0
110	0.786958676470937	0.00816179417197626	0.0103883847377769	0.17471029424667	0.006153357314433	0.00152707595780148	0.000640233709016151	0.00152707595780148	0	0.0083538642846811	0.0015792431489065	0	0	0	0
115	0.782403401421267	0.00838332298017841	0.00903912399557699	0.179581999719463	0.00462339715855993	0.00221150675748296	0.000828859616684306	0.00221150675748296	0	0.00955829979943419	0.00115858179387081	0	0	0	0
120	0.788119996838623	0.0105567410719326	0.0105567410719326	0.169743363930946	0.00527272521988506	0.00145649154896183	0.000948413101649561	0.00145649154896183	0	0.0106131942327451	0.00127584143436191	0	0	0	0
