Sample	Ia	Ib	Ic	IIa	IIa'	IIb	IIb'	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
925B-25H-7-(43-47)	27.2	4.2	17.9	1.3	13.9	1.3	5.3	0.6	7.4	2.9	13.4	0	2.7	0	1.9
925B-26H-3-(91-94)	13.6	5.5	16	0.8	7.2	0.4	19.7	0.3	4.1	6.5	19.3	0	6	0	0.7
925B-26H-6-(104-107)	16	3.9	14	1.4	9.5	1.3	9.3	0.5	5.5	17.2	16.8	0.3	3.5	0.2	0.5
925B-27H-4-(46-50)	23.3	6.3	18.8	2	8	4.1	6.6	0.8	5.9	3.1	16.1	1.4	1.9	0	1.6
925B-27H-7-(29-32)	15	7.1	8.3	1.4	9.7	2.1	12.3	0.5	3.2	1.8	21.3	0.9	5.8	0	10.5
925B-28H-3-(59-62)	24.5	4.5	8.9	2	9.4	0.6	15.9	0.4	4.2	0.8	21.1	0.2	6.5	0.3	0.6
925B-28H-7-(68-71)	27.3	5.4	17.1	4.5	15.9	5.6	1.6	1.3	2.2	4.1	11.7	0	1.7	0	1.7
925B-29H-4-(44-47)	25.9	5.3	14.2	4.2	10.7	4.8	4.6	0.8	4.8	9.3	10.9	0.9	1.5	0	2.1
925B-30H-3-(77-80)	27	4.2	10.2	7.8	8.6	0.2	11.4	0.4	5.7	2.2	15.1	0.2	5.1	0.4	1.4
925B-30H-7-(43-46)	21.7	3	6	8.6	7.6	0	9.2	0.2	2.4	14.4	20.5	0	5.3	0.1	1
925B-31H-4-(119-122)	30	3.7	5.2	3.7	10.7	0	13.5	0.3	3	4.1	17.6	0	7.1	0	1.1
925B-32H-3-(50-53)	50.9	3.3	3.5	4.1	8.3	0	8.6	0.2	1.5	3.5	10.8	0.4	4	0	1
925B-32H-7-(10-13)	41.7	3.4	6	7.1	9	1.6	3.6	0.4	2.7	7.7	12.7	0.5	2	0	1.5
925A-3R-1-(95-98)	50	4.1	4.9	1.8	5.4	0	8	0.2	3.6	7.4	10	0.4	3.2	0.1	0.7
925B-33H-7-(10-15)	43.8	3.5	5.8	2.9	5.9	0.2	8.8	0.2	3.2	6.9	12.1	0.3	5.1	0	1.2
925A-4R-1-(58-61)	32.1	3.7	7.6	3	9.1	0	9.7	0.3	2.5	1.9	17.8	0.9	7.9	0	3.6
925A-5R-1-(52-55)	43.7	3.5	4.1	3.1	9	0	8.4	0.2	1.2	3.9	16.5	0	4.8	0	1.6
925A-5R-4-(52-55)	27.1	5	9.1	2	9.1	0	14	0.3	2.7	3.5	19.2	0	6.6	0	1.6
925A-6R-1-(62-65)	40	4.8	5.6	1.4	4.8	0	14	0.1	2.2	11.9	9.7	0.3	4.4	0	0.7
925A-6R3W-110	49.1	5.4	4.9	2.6	5.7	0.3	10	0.4	1.5	3.2	11.3	0.4	3.9	0	1.3
925A-7R-3-(6-10)	49.7	5.9	4.4	5.3	7.8	2	5.5	0.5	1.6	4.4	10	0.4	1.6	0	0.8
925A-8R-2-(136-139)	50	3.2	4.7	2.7	6.7	0.3	7.9	0.3	1.5	3.5	13.4	0.4	3.9	0	1.5
925A-8R-6-(80-83)	64.4	4.2	2.7	1.2	3.8	0.2	7.7	0.1	1.3	3	7.4	0.1	3.3	0	0.5
925A-9R-4-(131-134)	28.7	4.7	5.5	1.8	10.5	1.7	5	0.8	1.5	3.6	23.3	1.5	5.8	0	5.7
925A-10R-1-(128-131)	31.2	4.9	7	3	11.6	1.3	6.4	0.5	2.1	2.4	17.6	0.8	4.5	0	6.8
925A-11R-1-(41-44)	32.5	5.5	8.2	1.5	13.9	2	4.8	0.6	2	1.7	15.5	0	5.4	0	6.4
925A-12R-1-(23-26)	52.3	3.8	10.8	2.4	6.4	0	6.4	0.3	4.1	3.5	6.8	0.2	2.1	0	0.8
925A-13R-1-(48-51)	33	5.4	11.9	4.8	7.2	2.1	3.7	0.6	2.9	11.3	11.9	0.9	2.2	0.4	1.6
925A-14R-1-(6-9)	43.5	5.4	12	4.1	9.2	1.4	2.8	0	2.3	3.7	10.8	0	3.6	0	1.2
