Sample	fIa	fIb	fIc	fIIa	fIIa'	fIIb	fIIb'	fIIc	fIIc'	fIIIa	fIIIa'	fIIIb	fIIIb'	fIIIc	fIIIc'
Ding_2018 8 core	0.364349638	0.017408361	0.005639328	0.421846267	0.081402476	0.008336398	0.00478117	0.001716317	0	0.086428834	0.00809121	0	0	0	0
Naafs_2017_peats 441 M4 NA	0.546917654	0.021694844	0.013945715	0.340670867	0	0.009094762	0	0.005696473	0	0.061979685	0	0	0	0	0
PerezAngel_2020 Colombia-EC4 250021	0.828624381	0.049416482	0.015434676	0.062939998	0.028938501	0.002914743	0.00389191	0.003677323	0.000323659	0.001455751	0.001653156	0.000127824	0.000237638	0.000363957	0
Naafs_2017_peats 87 Butterburn Flow 10	0.565045989	0.017332296	0.007638927	0.351836829	0	0.006325575	0	0.004299637	0	0.047520747	0	0	0	0	0
Naafs_2017_peats 55 Andorra 37	0.282992137	0.003724026	0.002638309	0.524407075	0	0.006683204	0	0.001941477	0	0.177613772	0	0	0	0	0
Naafs_2017_peats 309 Pinet Fosse Pinet 2nd layer	0.557404781	0.037178099	0.006231255	0.355959604	0	0.007300545	0	0.003053897	0	0.032493357	0	0.000126723	0.000149287	0.000102452	0
Naafs_2017_Soils_China-MG2220	0.295005481	0.061504833	0.015675568	0.246019331	0.168730072	0.027976535	0.034943454	0.007304379	0.002329564	0.063028846	0.067927461	0.004005978	0.000932914	0.002307792	0.002307792
PerezAngel_2020 Colombia-EC19 250032	0.646500845	0.212765651	0.049408533	0.015642138	0.043529084	0.008920389	0.019209963	0	0	0.001308103	0.002715293	0	0	0	0
Wang_2020_84	0.116173162	0.034506473	0.005499724	0.037625116	0.486284032	0.021957134	0.048655548	0.002064501	0.003369212	0.017622691	0.216323369	0.002536676	0.00738236	0	0
Chen_2021 TW-2	0.13042512	0.067671909	0.003054273	0.035404391	0.30644603	0.021712281	0.078091443	0.000721776	0.001732656	0.080079769	0.25821094	0.002310863	0.01413855	0	0
Naafs_2017_Soils_the Netherlands-A	0.198448404	0.105270121	0.008606544	0.128031228	0.23187878	0.054199887	0.088199291	0.002133854	0.006757204	0.044739801	0.113094252	0.013443279	0.000289493	0.002453932	0.002453932
Naafs_2017_peats 303 Fjallsjökull Fjallsj√É¬∂kull (top)	0.075259577	0.012733361	0.008319895	0.070106867	0.234885946	0.009855022	0.042139407	0	0	0.031863767	0.514836157	0	0	0	0
Naafs_2017_peats 99 Mira Flores 30-40cm	0.953303609	0.011004175	0.009331502	0.024964	0	0.000303295	0	0.000207762	0	0.000885657	0	0	0	0	0
Vequaud_2021 30	0.364109617	0.039769409	0.006522338	0.253155027	0.132356681	0.014604576	0.037569058	0	0	0.084181763	0.05411481	0.008614592	0.005002129	0	0
Naafs_2017_peats 401 004D NA	0.454981059	0.037344551	0.01601658	0.470761941	0	0.01219187	0	0.006141044	0	0.002562953	0	0	0	0	0
Chen_2021 TW-23	0.162846305	0.028970829	0.00207548	0.239541197	0.223238988	0.018235862	0.032596428	0.00446458	0	0.176333931	0.111696401	0	0	0	0
Guo_2020 S14.3	0.383838384	0.03030303	0.02020202	0.363636364	0.090909091	0.02020202	0.01010101	0	0	0.060606061	0.02020202	0	0	0	0
Naafs_2017_Soils_China-MG1645	0.196166724	0.169416716	0.029425009	0.097191695	0.174766718	0.084262525	0.108783365	0.005100335	0.009095003	0.035488344	0.067231686	0.015604171	0.000869375	0.003299168	0.003299168
Li_2018 CB10-2	0.418367347	0.051020408	0.010204082	0.316326531	0.112244898	0.010204082	0.010204082	0	0	0.06122449	0.010204082	0	0	0	0
Wang_2020_69	0.303328339	0.091635973	0.01213769	0.108069573	0.277964585	0.019818197	0.063600886	0.002334613	0.003610452	0.019799899	0.088021574	0.002634198	0.007044022	0	0
Dearing Crampton-Flood 2020 IndiaG21	0.92	0.05	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0
Dugerdil_2021 MMNT4M10	0.076899426	0.003366992	0.004683788	0.017491943	0.451061656	0.002106971	0.001298938	0.010943875	0.006874754	0.007736626	0.357980412	0.003342561	0.012144803	0.037585573	0.006481683
Wang_2018 FJS22	0.676565919	0.029586474	0.006262707	0.233762902	0.01784217	0.004726026	0.003014291	0.001897726	0.00014245	0.020574316	0.004541912	0.000237996	0.000379799	0.000410305	5.50E-05
Naafs_2017_peats 312 N. Norway NA	0.482156114	0.010804284	0.010157375	0.423428235	0	0.0045554	0	0.002442236	0	0.066456356	0	0	0	0	0
Dearing Crampton-Flood 2020 IndiaG33	0.495049505	0.188118812	0.02970297	0.04950495	0.148514851	0.00990099	0.04950495	0	0	0.00990099	0.01980198	0	0	0	0
Naafs_2017_peats 372 Peace river NA	0.43447487	0.01297123	0	0.464214812	0	0.005524167	0	0.007747642	0	0.075067279	0	0	0	0	0
Naafs_2017_peats 142 Buena Vista del Maquía 30-40cm	0.93202575	0.015516668	0.007271619	0.041539668	0	0.001159898	0	0.000738976	0	0.00174742	0	0	0	0	0
Guo_2020 S10.4	0.363636364	0.04040404	0.02020202	0.383838384	0.080808081	0.02020202	0.01010101	0	0	0.070707071	0.01010101	0	0	0	0
Naafs_2017_peats 206 Zalama ZAL 40	0.490361449	0.067893247	0.020992737	0.347229089	0	0.035150454	0	0.00827223	0	0.029547227	0	0.000145504	0.000408063	0	0
Wang_2020_132	0.158246093	0.043943365	0.005913059	0.00948319	0.506994875	0.009962552	0.062383934	0	0	0.013645092	0.189427841	0	0	0	0
Wang_2020_66	0.084376803	0.078977435	0.006854332	0.109770952	0.210038653	0.085431866	0.138451104	0.002466969	0.005600499	0.090648884	0.157254742	0.006006099	0.02129348	0.000634524	0.002193657
Wang_2019 34	0.822	0.008	0.003	0.118	0.039	0.001	0	0	0	0.008	0.001	0	0	0	0
Q2S4A	0.974132557	0.006016023	0.005759596	0.011363786	0.002728039	0	0	0	0	0	0	0	0	0	0
Naafs_2017_peats 229 Peat near Neor Lake NA	0.13882847	0.086446905	0.014212345	0.269768619	0.121739222	0.073006255	0.022447003	0.004756604	0.003463316	0.18805575	0.067038292	0.004028729	0.004540012	0.000560197	0.001108279
Wang_2019 45	0.671671672	0.028028028	0.009009009	0.248248248	0.011011011	0.006006006	0.001001001	0.003003003	0	0.019019019	0.003003003	0	0	0	0
SFS3A	0.561244839	0.150343606	0.016741932	0.042079235	0.197343544	0.032246845	0	0	0	0	0	0	0	0	0
Zang_2018 TLF-04	0.1	0.08	0.02	0.09	0.29	0.04	0.11	0.01	0.02	0.06	0.15	0.01	0.02	0	0
Guo_2020 S4.3	0.34	0.02	0.01	0.39	0.05	0.01	0	0	0	0.08	0.1	0	0	0	0
Naafs_2017_Soils_France-TESO18	0.434194712	0.019831731	0.003861178	0.3515625	0.050580929	0.008914263	0.003340345	0.002063301	0	0.112179487	0.013471554	0	0	0	0
Naafs_2017_peats 374 Radisson NA	0.394238209	0.008775077	0.003144639	0.449476204	0	0.006225585	0	0.004106187	0	0.134034099	0	0	0	0	0
Naafs_2017_peats 392 007G NA	0.514871174	0.031497476	0.0233912	0.368083927	0	0.010360605	0	0.005314937	0	0.04613823	0	0.000224299	0	0.000118151	0
Kirkels_2019 TU7-O	0.92	0.02	0.01	0.04	0.01	0	0	0	0	0	0	0	0	0	0
Wang_2020_88	0.309958462	0.046516506	0.004072399	0.18490233	0.308098612	0.012845442	0.024417681	0.000818462	0.001224137	0.04313244	0.060828566	0.00105561	0.002129352	0	0
Naafs_2017_peats 322 Demoiselle Dendiselle (11)	0.596476299	0	0	0.354596524	0	0	0	0	0	0.048927177	0	0	0	0	0
Dugerdil_2021 MMNT2M01	0.280909063	0.006497894	0.015191211	0.11315287	0.328873809	0.001961591	0.010068486	0.005747349	0.001482834	0.108391075	0.086934483	0.02278771	0.004052893	0.012021595	0.001927136
Naafs_2017_peats 62 Ballyduff Bog 2	0.51682699	0.037319476	0.026136948	0.351850501	0	0.01854939	0	0.009843154	0	0.03947354	0	0	0	0	0
T3S6	0.871021233	0.013826032	0.007274805	0.064294008	0.033964179	0.001310418	0	0.00027711	0	0.005753745	0.001873897	0.00018345	0.000221122	0	0
Naafs_2017_Soils_USA-SR3	0.14138135	0.018203607	0.001228743	0.224814551	0.289437357	0.0074028	0.016868676	0	0	0.151089941	0.149572974	0	0	0	0
Naafs_2017_Soils_France-TESO7	0.137330473	0.132900458	0.03189611	0.086701727	0.163910564	0.128470442	0.101890351	0.013606475	0.008480315	0.05227418	0.108851803	0.022213362	0.003132654	0.004170543	0.004170543
Naafs_2017_peats 204 Zalama ZAL 05	0.51016597	0.033848473	0.015511449	0.382558673	0	0.016712975	0	0.006153662	0	0.0347589	0	0.000142023	0.000147875	0	0
Naafs_2017_peats 296 OHM Vicdessos OHM Vicdessos (1)	0.481585616	0.013142975	0.004043105	0.355624515	0	0.005870303	0	0.002139058	0	0.137594428	0	0	0	0	0
GRU46b	0.962602698	0.001828246	0.002871442	0.031849298	0	0	0	0	0	0.000848315	0	0	0	0	0
Dugerdil_2021 MMNT4S12	0.269312374	0.030824026	0.008655361	0.193344489	0.229939372	0.012186972	0.012425886	0.015607372	0.004651145	0.025460968	0.123925488	0.021359324	0.010745098	0.035400074	0.006162052
Naafs_2017_peats 97 Mira Flores 30-40cm	0.948160721	0.009970973	0.010029224	0.025206689	0.006632392	0	0	0	0	0	0	0	0	0	0
Naafs_2017_peats 422 M3 NA	0.534395571	0.01756204	0.025675539	0.348729372	0	0.010951522	0	0.010495686	0	0.050918848	0	0.000837904	0	0.000433518	0
Naafs_2017_Soils_USA-R-1	0.191453201	0.170976923	0.022728669	0.073714602	0.1810103	0.023138194	0.143333948	0.005467166	0.007105269	0.12142433	0.048733542	0.010913856	0	0	0
Cao_2020 S4	0.124252492	0.042857143	0.006312292	0.164784053	0.268770764	0.028239203	0.084385382	0	0.002325581	0.120265781	0.143521595	0.003654485	0.010631229	0	0
