Sample	Ia	Ib	Ic	IIa	IIa'	IIb	IIb'	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
GGOM1	31.1289808794093	9.93636093755643	5.31841200101851	7.19287382448593	6.59924635492457	4.99551964601141	10.4871836863927	0.893201504303612	3.5650720852139	7.59440867146477	9.41115596014837	1.01321346305775	1.86437098601271	0	0
GGOM2	34.3668359834277	11.1439747293757	0.489294919546437	6.88180270000812	6.97163584833267	4.6197579772719	12.2412253050888	0.808168854085303	4.36653409165002	6.19102429498395	9.18912126528263	0.977317566709399	1.75330646423735	0	0
GGOM3	33.6841198822525	9.26654620863133	4.27239229674942	7.02450375433613	7.35009648750366	4.06829660978534	11.214136154844	0.588620518495269	3.77542082196031	6.63935399689781	9.21659284411058	1.12467132916846	1.7752490952652	0	0
16	35.0070343608048	9.75543290238282	4.67117789196574	6.59543718652803	6.69781869730788	3.67585369893232	11.0323416732562	0.903523585227624	3.98566899673214	6.32306107130518	8.38725752596061	1.10080926053381	1.86458314906289	0	0
GGOM4	32.8130353846038	10.2386506519399	5.32220019560934	7.29195572555707	7.39485032691322	4.18192077112018	11.3213891702349	0.83290161255249	4.31464558305451	5.50799138215115	8.01751672245549	0.908758809695522	1.85418366411241	0	0
GGOM5	30.1566091662556	10.766211158248	5.34301693300479	6.24658615488464	6.88569919143026	4.87660182680922	12.8212693342676	0.865519075701219	4.04816364694313	6.10556342828284	9.04006684579182	1.02737153427574	1.81732170410513	0	0
GGOM6	30.6013438776912	10.2800849970996	4.90495439110809	6.17977702557484	7.72659530459882	4.72893012262212	12.4085463570553	0.707877245306671	3.95008631748235	6.49429156643769	8.98979364440753	0.981066909996904	2.04665224061894	0	0
GGOM7	24.4653377915705	12.4788632644041	5.58424575145552	6.39794180909315	7.33298053960591	7.14202017717781	12.741708939654	0.737460544612867	4.35050972525259	6.42381257675156	9.65067359230544	0.785073391760919	1.90937189635571	0	0
GGOM8	27.2483641816501	11.114054765886	5.43416307142991	6.17024302683736	8.00314658247688	5.02974932334739	13.2373820409682	0.99035821900009	3.97799844859026	6.82149131161721	9.27570256240332	0.935194042065403	1.76215242372782	0	0
GGOM8.1	35.4661267789493	11.9501979936958	5.95130223614476	9.87604660572031	7.44504199826573	5.32313932499808	15.0580083576865	0.681568302465628	4.61014266045451	0	0	1.60062335458345	2.03780238703591	0	0
GGOM9	26.5843718998493	9.69053782568264	5.3611536788888	6.89810114912041	7.19814485014961	5.32897006527478	11.895210053065	0.695458976713104	4.43911650690345	7.6845479615134	9.85821079107853	0.997483693425336	1.90531032907385	0.788449292235747	0.674932927026049
GGOM9.1	32.6105941943069	8.72013228850036	3.85894207777493	5.84132111784156	8.1140309090969	5.10678438250081	12.7873093804656	0.690288140723951	3.88179242767654	6.04691343587892	9.0203787797309	1.27769858674385	2.04381427875884	0	0
GGOM10	34.7111991513528	9.53491581416287	5.21952000363591	6.99943061408828	6.91308852984189	4.78406736895358	10.7535486420362	0.735090038604728	4.08066682772647	5.75368029744414	7.91285610584563	0.888306561908915	1.71363004439865	0	0
GOM10.2	32.1260005046912	10.210702543354	5.05188430695389	7.09209880640205	7.02657323313289	4.1697620227013	12.262879693821	0.469490004321124	3.88232459732211	6.32490098879876	8.426494412148	1.15625972968946	1.80062915666418	0	0
