Site,MAP,GDGT-0,GDGT-1',isoGDGT-1,isoGDGT-2',isoGDGT-2,isoGDGT-3',isoGDGT-3,isoGDGT-4,Crenarchaeol,Cren',brGDGT Ia,brGDGT Ib,brGDGT Ic,brGDGT IIa ,brGDGT IIa',brGDGT IIb,brGDGT IIb',brGDGT IIc,brGDGT IIc',brGDGT IIIa,brGDGT IIIa',brGDGT IIIb,brGDGT IIIb',brGDGT IIIc,brGDGT IIIc'
site_14,1365,0.0170,0.0020,0.0053,0.0105,0.0056,0.0047,0.0055,0.0528,0.0672,0.0136,0.4093,0.1634,0.0574,0.0374,0.0707,0.0056,0.0478,0.0013,0.0021,0.0064,0.0145,0.0000,0.0000,0.0000,0.0000
site_15,1365,0.0146,0.0046,0.0057,0.0082,0.0044,0.0050,0.0045,0.0542,0.0860,0.0128,0.3805,0.1582,0.0497,0.0496,0.0847,0.0253,0.0320,0.0017,0.0021,0.0050,0.0113,0.0000,0.0000,0.0000,0.0000
site_16,1365,0.2485,0.0026,0.0052,0.0074,0.0071,0.0036,0.0035,0.0554,0.0741,0.0034,0.2198,0.1140,0.0242,0.0295,0.0979,0.0101,0.0552,0.0011,0.0018,0.0055,0.0245,0.0016,0.0042,0.0000,0.0000
site_17,1365,0.0061,0.0015,0.0066,0.0056,0.0049,0.0016,0.0036,0.0677,0.0748,0.0097,0.2212,0.1976,0.0408,0.0259,0.1511,0.0400,0.0688,0.0039,0.0067,0.0101,0.0348,0.0044,0.0105,0.0009,0.0012
site_18,1655,0.0067,0.0008,0.0017,0.0017,0.0020,0.0006,0.0011,0.0042,0.0074,0.0018,0.8277,0.0204,0.0044,0.0688,0.0410,0.0015,0.0022,0.0000,0.0000,0.0024,0.0037,0.0000,0.0000,0.0000,0.0000
site_19,1655,0.0373,0.0017,0.0252,0.0033,0.0212,0.0009,0.0057,0.0086,0.0114,0.0017,0.7581,0.0161,0.0031,0.0776,0.0241,0.0000,0.0000,0.0000,0.0000,0.0027,0.0012,0.0000,0.0000,0.0000,0.0000
site_20,1655,0.0221,0.0071,0.0034,0.0055,0.0031,0.0013,0.0015,0.0117,0.0204,0.0045,0.7748,0.0163,0.0036,0.0705,0.0462,0.0013,0.0020,0.0000,0.0000,0.0025,0.0024,0.0000,0.0000,0.0000,0.0000
site_21,1655,0.0094,0.0019,0.0052,0.0023,0.0047,0.0006,0.0014,0.0015,0.0026,0.0017,0.8315,0.0144,0.0026,0.0606,0.0486,0.0010,0.0026,0.0000,0.0000,0.0039,0.0035,0.0000,0.0000,0.0000,0.0000
site_22,1655,0.0102,0.0018,0.0016,0.0018,0.0013,0.0006,0.0006,0.0043,0.0061,0.0018,0.8516,0.0053,0.0012,0.0843,0.0217,0.0000,0.0000,0.0000,0.0000,0.0033,0.0024,0.0000,0.0000,0.0000,0.0000
site_23,1673,0.0422,0.0145,0.0040,0.0049,0.0056,0.0011,0.0043,0.0100,0.0166,0.0067,0.8424,0.0032,0.0021,0.0326,0.0051,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000
site_24,1673,0.0909,0.0443,0.0050,0.0059,0.0043,0.0011,0.0022,0.0151,0.0243,0.0043,0.7583,0.0037,0.0050,0.0222,0.0052,0.0000,0.0000,0.0000,0.0000,0.0074,0.0010,0.0000,0.0000,0.0000,0.0000
site_25,1673,0.0653,0.0347,0.0039,0.0041,0.0042,0.0012,0.0031,0.0097,0.0145,0.0038,0.8016,0.0056,0.0042,0.0332,0.0071,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000
site_26,1673,0.1171,0.0311,0.0064,0.0068,0.0063,0.0015,0.0051,0.0172,0.0243,0.0080,0.7355,0.0039,0.0041,0.0245,0.0051,0.0000,0.0000,0.0000,0.0000,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000
site_27,1673,0.0640,0.0294,0.0038,0.0064,0.0041,0.0016,0.0021,0.0149,0.0231,0.0079,0.7887,0.0033,0.0037,0.0343,0.0092,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000
site_28,1641,0.0388,0.0107,0.0107,0.0012,0.0084,0.0006,0.0053,0.0041,0.0057,0.0037,0.8801,0.0020,0.0045,0.0232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000
site_29,1641,0.1019,0.0185,0.0047,0.0018,0.0056,0.0004,0.0026,0.0043,0.0064,0.0011,0.8208,0.0016,0.0024,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000
site_30,1641,0.0339,0.0109,0.0042,0.0013,0.0040,0.0003,0.0020,0.0053,0.0080,0.0023,0.8694,0.0017,0.0016,0.0471,0.0056,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000
site_31,1641,0.0760,0.0255,0.0039,0.0019,0.0024,0.0006,0.0016,0.0041,0.0062,0.0029,0.8183,0.0016,0.0016,0.0406,0.0087,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000
site_32,1641,0.0298,0.0096,0.0095,0.0024,0.0074,0.0007,0.0038,0.0071,0.0095,0.0028,0.8718,0.0027,0.0022,0.0323,0.0061,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000
site_33,1525,0.0217,0.0072,0.0018,0.0032,0.0016,0.0005,0.0016,0.0029,0.0051,0.0015,0.9011,0.0029,0.0028,0.0280,0.0075,0.0000,0.0000,0.0000,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000
site_34,1525,0.0286,0.0125,0.0070,0.0023,0.0029,0.0032,0.0049,0.0088,0.0108,0.0079,0.8721,0.0022,0.0040,0.0154,0.0145,0.0000,0.0000,0.0000,0.0000,0.0022,0.0009,0.0000,0.0000,0.0000,0.0000
site_35,1525,0.0718,0.0338,0.0045,0.0034,0.0049,0.0017,0.0030,0.0132,0.0187,0.0036,0.7543,0.0037,0.0035,0.0548,0.0187,0.0000,0.0000,0.0000,0.0000,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000
site_36,1525,0.0197,0.0138,0.0003,0.0014,0.0010,0.0005,0.0011,0.0035,0.0077,0.0041,0.8890,0.0016,0.0025,0.0485,0.0034,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000
site_37,1525,0.1204,0.0528,0.0112,0.0082,0.0128,0.0035,0.0045,0.0095,0.0148,0.0036,0.6620,0.0014,0.0000,0.0305,0.0544,0.0000,0.0000,0.0000,0.0000,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000
site_38,1684,0.0835,0.0486,0.0079,0.0085,0.0098,0.0024,0.0074,0.0256,0.0389,0.0077,0.7040,0.0049,0.0043,0.0194,0.0206,0.0000,0.0000,0.0000,0.0000,0.0051,0.0016,0.0000,0.0000,0.0000,0.0000
site_39,1684,0.0394,0.0230,0.0064,0.0061,0.0036,0.0008,0.0084,0.0205,0.0352,0.0109,0.7969,0.0036,0.0043,0.0300,0.0056,0.0000,0.0000,0.0000,0.0000,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000
site_40,1684,0.0537,0.0234,0.0061,0.0053,0.0140,0.0021,0.0103,0.0216,0.0293,0.0111,0.7637,0.0050,0.0050,0.0343,0.0084,0.0000,0.0000,0.0000,0.0000,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000
site_41,1684,0.0616,0.0142,0.0055,0.0024,0.0027,0.0005,0.0104,0.0198,0.0377,0.0080,0.7820,0.0043,0.0047,0.0290,0.0097,0.0000,0.0000,0.0000,0.0000,0.0066,0.0009,0.0000,0.0000,0.0000,0.0000
site_42,1684,0.0799,0.0300,0.0156,0.0107,0.0241,0.0037,0.0218,0.0386,0.0300,0.0205,0.6655,0.0064,0.0076,0.0285,0.0070,0.0000,0.0000,0.0000,0.0000,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000
site_43,1694,0.0341,0.0153,0.0067,0.0055,0.0095,0.0016,0.0079,0.0172,0.0231,0.0065,0.8117,0.0086,0.0065,0.0391,0.0033,0.0000,0.0000,0.0000,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000
site_44,1694,0.0412,0.0205,0.0037,0.0061,0.0059,0.0016,0.0039,0.0176,0.0284,0.0079,0.8285,0.0044,0.0038,0.0095,0.0129,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000
site_45,1694,0.0510,0.0180,0.0042,0.0058,0.0061,0.0015,0.0030,0.0162,0.0299,0.0065,0.7946,0.0024,0.0025,0.0392,0.0155,0.0000,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000
site_46,1694,0.0214,0.0075,0.0065,0.0052,0.0084,0.0016,0.0047,0.0141,0.0213,0.0069,0.8489,0.0044,0.0039,0.0311,0.0101,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000
site_47,1694,0.0647,0.0314,0.0033,0.0089,0.0050,0.0028,0.0027,0.0150,0.0248,0.0081,0.7784,0.0040,0.0039,0.0324,0.0111,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000
site_48,1715,0.0131,0.0015,0.0052,0.0024,0.0072,0.0009,0.0060,0.0066,0.0084,0.0063,0.8859,0.0113,0.0156,0.0205,0.0066,0.0010,0.0005,0.0000,0.0000,0.0006,0.0006,0.0000,0.0000,0.0000,0.0000
site_49,1590,0.0062,0.0005,0.0011,0.0010,0.0016,0.0002,0.0011,0.0024,0.0039,0.0043,0.9200,0.0091,0.0169,0.0241,0.0063,0.0000,0.0000,0.0000,0.0000,0.0007,0.0007,0.0000,0.0000,0.0000,0.0000
site_50,1644,0.0147,0.0029,0.0072,0.0045,0.0071,0.0035,0.0053,0.0442,0.0779,0.0138,0.6049,0.1008,0.0380,0.0123,0.0466,0.0023,0.0095,0.0000,0.0000,0.0016,0.0030,0.0000,0.0000,0.0000,0.0000
site_51,1808,0.0139,0.0014,0.0062,0.0012,0.0088,0.0005,0.0055,0.0047,0.0065,0.0024,0.8887,0.0083,0.0090,0.0303,0.0100,0.0000,0.0000,0.0000,0.0000,0.0013,0.0013,0.0000,0.0000,0.0000,0.0000
site_52,1955,0.0301,0.0038,0.0024,0.0016,0.0034,0.0006,0.0018,0.0134,0.0192,0.0012,0.8199,0.0177,0.0082,0.0424,0.0276,0.0007,0.0018,0.0000,0.0000,0.0019,0.0022,0.0000,0.0000,0.0000,0.0000
site_53,2212,0.0195,0.0031,0.0106,0.0030,0.0151,0.0015,0.0141,0.0206,0.0244,0.0084,0.8069,0.0174,0.0140,0.0226,0.0171,0.0000,0.0000,0.0000,0.0000,0.0011,0.0006,0.0000,0.0000,0.0000,0.0000
site_54,3518,0.0295,0.0100,0.0028,0.0043,0.0033,0.0012,0.0023,0.0103,0.0151,0.0054,0.8449,0.0050,0.0038,0.0512,0.0056,0.0000,0.0000,0.0000,0.0000,0.0044,0.0009,0.0000,0.0000,0.0000,0.0000
site_55,3518,0.0267,0.0088,0.0007,0.0007,0.0005,0.0002,0.0003,0.0019,0.0031,0.0009,0.8977,0.0052,0.0044,0.0415,0.0048,0.0000,0.0000,0.0000,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000
site_56,3518,0.0043,0.0014,0.0006,0.0026,0.0015,0.0008,0.0011,0.0040,0.0066,0.0003,0.9160,0.0054,0.0039,0.0452,0.0042,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000
site_57,3518,0.0046,0.0012,0.0005,0.0001,0.0005,0.0001,0.0003,0.0002,0.0003,0.0000,0.9665,0.0060,0.0057,0.0113,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_58,3518,0.0020,0.0007,0.0005,0.0007,0.0005,0.0007,0.0021,0.0088,0.0140,0.0007,0.9148,0.0070,0.0054,0.0394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0003,0.0000,0.0000,0.0000,0.0000
site_59,3518,0.0231,0.0313,0.0128,0.0018,0.0022,0.0008,0.0036,0.0482,0.0822,0.0056,0.6924,0.0170,0.0270,0.0323,0.0155,0.0000,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000
site_60,3518,0.0043,0.0010,0.0005,0.0008,0.0007,0.0002,0.0005,0.0018,0.0028,0.0002,0.9233,0.0062,0.0044,0.0436,0.0070,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000
site_61,3518,0.0033,0.0009,0.0027,0.0005,0.0005,0.0001,0.0003,0.0101,0.0152,0.0004,0.9075,0.0077,0.0045,0.0382,0.0047,0.0000,0.0000,0.0000,0.0000,0.0029,0.0005,0.0000,0.0000,0.0000,0.0000
site_62,3518,0.0028,0.0007,0.0003,0.0003,0.0003,0.0001,0.0002,0.0007,0.0011,0.0001,0.9526,0.0085,0.0047,0.0241,0.0031,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
site_63,3515,0.0079,0.0010,0.0008,0.0011,0.0040,0.0002,0.0007,0.0132,0.0167,0.0034,0.9098,0.0051,0.0040,0.0266,0.0038,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000
site_64,3515,0.1124,0.0067,0.0079,0.0021,0.0122,0.0007,0.0039,0.0058,0.0091,0.0034,0.7112,0.0126,0.0042,0.0744,0.0236,0.0013,0.0007,0.0004,0.0000,0.0052,0.0022,0.0000,0.0000,0.0000,0.0000
site_65,3515,0.0150,0.0023,0.0084,0.0061,0.0100,0.0020,0.0075,0.0161,0.0250,0.0130,0.8804,0.0075,0.0049,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_66,3569,0.0256,0.0064,0.0046,0.0034,0.0036,0.0011,0.0023,0.0086,0.0140,0.0059,0.8861,0.0032,0.0035,0.0265,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_67,3431,0.0294,0.0000,0.0060,0.0000,0.0743,0.0000,0.0121,0.1571,0.2756,0.0093,0.3915,0.0077,0.0018,0.0245,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_68,3431,0.0078,0.0000,0.0005,0.0005,0.0053,0.0002,0.0006,0.0046,0.0070,0.0097,0.9491,0.0076,0.0028,0.0030,0.0004,0.0006,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_69,3431,0.0488,0.0101,0.0040,0.0008,0.0056,0.0006,0.0030,0.0089,0.0128,0.0027,0.8730,0.0060,0.0062,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_70,3431,0.0221,0.0073,0.0056,0.0049,0.0074,0.0013,0.0041,0.0103,0.0152,0.0124,0.8542,0.0076,0.0046,0.0402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000
site_71,3431,0.2240,0.0074,0.0108,0.0091,0.0108,0.0018,0.0060,0.0188,0.0282,0.0036,0.5918,0.0094,0.0049,0.0437,0.0231,0.0009,0.0000,0.0002,0.0000,0.0039,0.0013,0.0001,0.0002,0.0000,0.0000
site_72,3431,0.1073,0.0026,0.0021,0.0051,0.0071,0.0008,0.0026,0.0041,0.0060,0.0006,0.7598,0.0072,0.0033,0.0561,0.0279,0.0008,0.0000,0.0000,0.0000,0.0040,0.0029,0.0000,0.0000,0.0000,0.0000
site_73,3431,0.0128,0.0034,0.0056,0.0030,0.0066,0.0011,0.0056,0.0090,0.0118,0.0079,0.8772,0.0095,0.0054,0.0351,0.0035,0.0006,0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000
site_74,3518,0.0287,0.0069,0.0028,0.0013,0.0028,0.0005,0.0018,0.0037,0.0055,0.0028,0.8901,0.0062,0.0013,0.0345,0.0082,0.0029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_75,3518,0.0336,0.0033,0.0044,0.0103,0.0089,0.0030,0.0050,0.0143,0.0204,0.0185,0.8183,0.0109,0.0060,0.0312,0.0063,0.0000,0.0000,0.0000,0.0000,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000
site_76,3518,0.1980,0.0079,0.0096,0.0082,0.0117,0.0025,0.0041,0.0186,0.0295,0.0020,0.6213,0.0088,0.0031,0.0522,0.0161,0.0005,0.0002,0.0000,0.0000,0.0044,0.0014,0.0000,0.0000,0.0000,0.0000
site_77,3518,0.0303,0.0057,0.0055,0.0008,0.0059,0.0003,0.0031,0.0029,0.0036,0.0009,0.9073,0.0054,0.0036,0.0167,0.0062,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000
site_78,3518,0.0290,0.0000,0.0122,0.0008,0.0016,0.0000,0.0007,0.0003,0.0002,0.0001,0.9004,0.0040,0.0054,0.0368,0.0043,0.0000,0.0000,0.0000,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000
site_79,3381,0.0121,0.0006,0.0017,0.0004,0.0016,0.0001,0.0008,0.0024,0.0033,0.0000,0.8988,0.0204,0.0050,0.0451,0.0042,0.0000,0.0000,0.0000,0.0000,0.0027,0.0011,0.0000,0.0000,0.0000,0.0000
site_80,3381,0.1611,0.0071,0.0052,0.0035,0.0056,0.0004,0.0024,0.0097,0.0143,0.0006,0.7017,0.0091,0.0034,0.0602,0.0092,0.0006,0.0002,0.0003,0.0001,0.0040,0.0012,0.0000,0.0000,0.0000,0.0000
site_81,3381,0.0176,0.0003,0.0013,0.0003,0.0014,0.0000,0.0020,0.0109,0.0143,0.0005,0.8517,0.0194,0.0075,0.0616,0.0066,0.0013,0.0002,0.0000,0.0000,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000
site_82,3381,0.0787,0.0059,0.0078,0.0016,0.0265,0.0022,0.0057,0.0301,0.0406,0.0022,0.7375,0.0075,0.0037,0.0343,0.0106,0.0000,0.0000,0.0000,0.0000,0.0033,0.0014,0.0004,0.0000,0.0000,0.0000
site_83,3518,0.0520,0.0032,0.0166,0.0023,0.0232,0.0009,0.0095,0.0363,0.0453,0.0040,0.7451,0.0095,0.0066,0.0360,0.0065,0.0008,0.0000,0.0004,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000
site_84,3518,0.2314,0.0147,0.0136,0.0145,0.0170,0.0022,0.0067,0.0204,0.0253,0.0010,0.5739,0.0091,0.0057,0.0428,0.0159,0.0009,0.0003,0.0003,0.0000,0.0028,0.0014,0.0002,0.0000,0.0000,0.0000
site_85,1587,0.0541,0.0030,0.0007,0.0014,0.0006,0.0003,0.0012,0.0035,0.0053,0.0008,0.9023,0.0024,0.0015,0.0179,0.0033,0.0000,0.0000,0.0000,0.0000,0.0013,0.0003,0.0000,0.0000,0.0000,0.0000
site_86,1587,0.0169,0.0029,0.0005,0.0004,0.0004,0.0003,0.0001,0.0059,0.0080,0.0005,0.9207,0.0043,0.0031,0.0284,0.0053,0.0000,0.0000,0.0000,0.0000,0.0019,0.0003,0.0000,0.0000,0.0000,0.0000
site_87,1292,0.0230,0.0036,0.0012,0.0005,0.0023,0.0002,0.0012,0.0012,0.0015,0.0003,0.8961,0.0047,0.0030,0.0414,0.0157,0.0000,0.0000,0.0000,0.0000,0.0027,0.0013,0.0000,0.0000,0.0000,0.0000
site_88,1292,0.0130,0.0021,0.0015,0.0002,0.0010,0.0001,0.0004,0.0004,0.0004,0.0002,0.8982,0.0034,0.0025,0.0506,0.0212,0.0000,0.0000,0.0000,0.0000,0.0030,0.0019,0.0000,0.0000,0.0000,0.0000
site_89,1292,0.0074,0.0017,0.0014,0.0003,0.0015,0.0000,0.0005,0.0006,0.0007,0.0001,0.9507,0.0053,0.0051,0.0189,0.0034,0.0000,0.0000,0.0000,0.0000,0.0016,0.0006,0.0000,0.0000,0.0000,0.0000
site_90,1292,0.0093,0.0014,0.0008,0.0002,0.0009,0.0000,0.0004,0.0006,0.0009,0.0001,0.9239,0.0062,0.0027,0.0377,0.0111,0.0000,0.0000,0.0000,0.0000,0.0026,0.0012,0.0000,0.0000,0.0000,0.0000
site_91,1292,0.0091,0.0013,0.0005,0.0001,0.0004,0.0001,0.0002,0.0002,0.0003,0.0001,0.9070,0.0030,0.0009,0.0564,0.0167,0.0000,0.0000,0.0000,0.0000,0.0024,0.0012,0.0000,0.0000,0.0000,0.0000
site_92,1684,0.0106,0.0030,0.0012,0.0009,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.9069,0.0077,0.0000,0.0501,0.0168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_93,1684,0.0470,0.0087,0.0024,0.0012,0.0018,0.0003,0.0009,0.0017,0.0023,0.0010,0.8490,0.0039,0.0014,0.0628,0.0116,0.0000,0.0000,0.0000,0.0000,0.0022,0.0015,0.0000,0.0000,0.0000,0.0000
site_94,1684,0.0614,0.0130,0.0030,0.0016,0.0023,0.0002,0.0013,0.0000,0.0000,0.0000,0.8389,0.0036,0.0000,0.0482,0.0233,0.0000,0.0000,0.0000,0.0000,0.0028,0.0004,0.0000,0.0000,0.0000,0.0000
site_95,1684,0.0471,0.0080,0.0050,0.0013,0.0041,0.0003,0.0018,0.0006,0.0008,0.0003,0.8258,0.0063,0.0000,0.0587,0.0343,0.0000,0.0000,0.0000,0.0000,0.0024,0.0030,0.0000,0.0000,0.0000,0.0000
site_96,1684,0.0461,0.0080,0.0017,0.0011,0.0018,0.0002,0.0008,0.0013,0.0018,0.0005,0.8490,0.0043,0.0000,0.0553,0.0279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_97,1818,0.0661,0.0170,0.0021,0.0016,0.0023,0.0003,0.0011,0.0101,0.0164,0.0028,0.6494,0.0979,0.0280,0.0232,0.0590,0.0031,0.0092,0.0000,0.0000,0.0055,0.0049,0.0000,0.0000,0.0000,0.0000
site_98,1818,0.0637,0.0193,0.0124,0.0099,0.0190,0.0040,0.0079,0.0544,0.0893,0.0102,0.3270,0.1255,0.0268,0.0215,0.1427,0.0061,0.0327,0.0000,0.0000,0.0051,0.0224,0.0000,0.0000,0.0000,0.0000
site_99,1818,0.0614,0.0160,0.0030,0.0030,0.0051,0.0013,0.0033,0.0215,0.0341,0.0036,0.5427,0.1281,0.0330,0.0254,0.0822,0.0039,0.0225,0.0000,0.0000,0.0039,0.0058,0.0000,0.0000,0.0000,0.0000
site_100,1818,0.0814,0.0174,0.0036,0.0029,0.0033,0.0009,0.0014,0.0158,0.0243,0.0017,0.4899,0.1785,0.0454,0.0210,0.0748,0.0032,0.0245,0.0000,0.0000,0.0039,0.0060,0.0000,0.0000,0.0000,0.0000
site_101,1818,0.0613,0.0072,0.0039,0.0023,0.0025,0.0000,0.0000,0.0031,0.0048,0.0014,0.6979,0.1108,0.0245,0.0161,0.0446,0.0032,0.0065,0.0000,0.0000,0.0036,0.0062,0.0000,0.0000,0.0000,0.0000
site_102,1680,0.0853,0.0189,0.0102,0.0064,0.0151,0.0013,0.0097,0.0575,0.0854,0.0074,0.6708,0.0055,0.0019,0.0174,0.0054,0.0000,0.0000,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000
